,Play Type,Outcome
0,Off-Ball Cut,0
1,Offensive Rebound,1
2,PnR Roll Man,0
3,Offensive Rebound,0
4,Offensive Rebound,0
5,Off-Ball Cut,1
6,Offensive Rebound,1
7,Drive + Dump,1
8,Post-Up (Right),0
9,Post-Up (Left),0
10,Catch + Shoot (2PT),0
11,Catch + Shoot (2PT),1
12,Offensive Rebound,1
13,Transition,1
14,Post-Up (Right),0
15,Catch + Shoot (2PT),1
16,Post-Up (Right),1
17,Catch + Shoot (3PT),0
18,Post-Up (Right),0
19,Offensive Rebound,0
20,Post-Up (Left),1
21,Off-Ball Cut,1
22,Off-Ball Cut,0
23,PnR Roll Man,0
24,Offensive Rebound,0
25,Post-Up (Left),1
26,Offensive Rebound,1
27,Post-Up (Left),1
28,Offensive Rebound,1
29,Offensive Rebound,1
