,Play Type,Outcome
0,Drive + Kick 3,0
1,Offensive Rebound,0
2,Drive + Kick,0
3,Drive + Kick,0
4,DHO Drive,0
5,Drive + Kick,0
6,PnR Drive,0
7,Perimeter/Pass,1
8,Transition,0
9,Perimeter/Pass,0
10,Drive + Kick,0
11,Drive + Kick,1
12,Closeout Drive,0
13,Drive + Kick,1
14,Drive + Kick,1
15,Drive + Kick,0
16,Perimeter/Pass,0
17,Perimeter/Pass,0
18,Drive + Kick,0
19,Flare Screen,0
20,Post-Up,0
21,Transition,1
22,Isolation Drive,0
23,Perimeter/Pass,0
24,Closeout Drive,1
25,Off-Ball Cut,0
26,Perimeter/Pass,0
27,Closeout Drive,1
28,Isolation Drive,1
29,Isolation Drive,0
30,Offensive Rebound,0
31,Down Screen,1
32,Closeout Drive,0
33,Perimeter/Pass,0
34,Isolation Drive,F
35,Flare Screen,1
36,Pull-Up,1
37,Closeout Drive,0
38,Pull-Up,0
39,Driev + Kick,0
40,Isolation Drive,0
41,Off-Ball Cut,0
42,Off-Ball Cut,0
43,Closeout Drive,1
44,Drive + Kick,1
45,Post-Up,0
46,Isolation Drive,0
47,PnR Drive,F
48,Closeout Drive,0
49,Transition,0
50,Off-Ball Cut,1
51,Off-Ball Cut,0
52,Drive + Kick,0
53,Isolation Drive,1
54,Closeout Drive,0
55,Drive + Kick,1
56,Post-Up,1
57,Transition,0
58,PnR Drive,0
59,Post-Up,F
60,Isolation Drive,0
61,Transition,F
