,Play Type,Outcome
0,Pull-Up (3PT),0
1,Drive Right,1
2,Catch + Shoot (3PT),0
3,Drive Right,0
4,Catch + Shoot (3PT),0
5,Drive Right,0
6,Drive Right,0
7,Catch + Shoot (3PT),0
8,Drive Right,0
9,Drive Left,0
10,Pull-Up (2PT),1
11,Catch + Shoot (2PT),1
12,Transition,1
13,Drive Right,1
14,Pull-Up (3PT),1
15,Drive Left,1
16,Drive Right,1
17,Drive Right,0
18,Transition,1
19,Catch + Shoot (3PT),0
20,Drive Left,0
21,Catch + Shoot (3PT),0
22,Catch + Shoot (3PT),0
23,Catch + Shoot (3PT),0
24,Pull-Up (2PT),1
25,Drive Right,0
26,Off-Ball Cut,0
